Collector	Dataset Count	NamFirst	NamLast	NamMiddle
C. Y. Kitayama	1	C.	Kitayama	Y.
Knutson	1		Knutson	
L. V. Knutson	2	L.	Knutson	V.
L. Knutson	4	L.	Knutson	
E. J. Kochenderfer	1	E.	Kochenderfer	J.
A. Konstantinov	2	A.	Konstantinov	
A. S. Konstantinov	2	A.	Konstantinov	S.
M. Kotrba	1	M.	Kotrba	
N. L. H. Krauss	3	N.	Krauss	L. H.
C. Kremen	1	C.	Kremen	
K. V. Krombein	16	K.	Krombein	V.
Krombein	5		Krombein	
T. Kuklenski	1	T.	Kuklenski	
G. Kung	1	G.	Kung	
K. Kusigemati	1	K.	Kusigemati	
R. Lacy	2	R.	Lacy	
J. Laffoon	1	J.	Laffoon	
C. Lamberton	3	C.	Lamberton	
C. Lamerton	1	C.	Lamerton	
R. Latham	1	R.	Latham	
R. J. Lavigne	1	R.	Lavigne	J.
L. LeSage	2	L.	LeSage	
P. Leanage	1	P.	Leanage	
J. M. LeavengoodJr.	1	J.	LeavengoodJr.	M.
H. M. C. Lee	1	H.	Lee	M. C.
C. Legg	1	C.	Legg	
L. Legg	1	L.	Legg	
D. C. Lightfoot	1	D.	Lightfoot	C.
Lightfoot	1		Lightfoot	
S. W. Lingafelter	6	S.	Lingafelter	W.
Lingafelter	1		Lingafelter	
J. Londt	6	J.	Londt	
O. Lonsdale	1	O.	Lonsdale	
J. E. Lowry	1	J.	Lowry	E.
C. Maier	1	C.	Maier	
J. Maldonado	1	J.	Maldonado	
Mann	1		Mann	
W. M. Mann	1	W.	Mann	M.
Marais	2		Marais	
T. D. Marsico	1	T.	Marsico	D.
C. H. Martin	1	C.	Martin	H.
L. Masner	4	L.	Masner	
W. N. Mathis	34	W.	Mathis	N.
W. N.  Mathis	1	W.	Mathis	N. 
D. Mathis	16	D.	Mathis	
D.  Mathis	1	D.	Mathis	
W. Mathis	1	W.	Mathis	
Mathis	3		Mathis	
J. R. Mawdsley	1	J.	Mawdsley	R.
E. Mayordo	1	E.	Mayordo	
D. K. McAlpine	1	D.	McAlpine	K.
H. E. McClure	1	H.	McClure	E.
N. McFarland	1	N.	McFarland	
R. J. McGinley	1	R.	McGinley	J.
McGinley	1		McGinley	
J. M. McGough	1	J.	McGough	M.
M. McKinnerney	1	M.	McKinnerney	
J. T. Medler	1	J.	Medler	T.
A. L. Melander	4	A.	Melander	L.
K.  Menke	1	K.	Menke	
N. D. Menke	1	N.	Menke	D.
N. Menke	1	N.	Menke	
A. Menke	1	A.	Menke	
A. S. Menke	12	A.	Menke	S.
A. S.  Menke	1	A.	Menke	S. 
Menke	3		Menke	
B. Merz	1	B.	Merz	
C. P. Mesnil	1	C.	Mesnil	P.
A. C. Messer	2	A.	Messer	C.
D. H. Messersmith	1	D.	Messersmith	H.
F. J. Messina	1	F.	Messina	J.
C. Miller	1	C.	Miller	
S. E. Miller	6	S.	Miller	E.
D. Miller	1	D.	Miller	
S. E.  Miller	2	S.	Miller	E. 
R. C. Miller	1	R.	Miller	C.
P. M. Miller	5	P.	Miller	M.
J. C. Miller	1	J.	Miller	C.
P. M.  Miller	2	P.	Miller	M. 
Mindakov	1		Mindakov	
L.  Molina	1	L.	Molina	
Molina	1		Molina	
R. Molineaux	1	R.	Molineaux	
M. J. Molineaux	1	M.	Molineaux	J.
A. L. Moore	3	A.	Moore	L.
Moore	1		Moore	
H. B. Morlan	1	H.	Morlan	B.
W. L. Murphy	3	W.	Murphy	L.
R. F. C. Naczi	1	R.	Naczi	F. C.
E. Namatalau	1	E.	Namatalau	
E. P. Narchuk	1	E.	Narchuk	P.
P. S. Nathan	5	P.	Nathan	S.
J. W. Neal	3	J.	Neal	W.
G. Nearns	1	G.	Nearns	
R. I. Nelson	1	R.	Nelson	I.
L. D. Newsom	1	L.	Newsom	D.
A. Newton	1	A.	Newton	
N. H. Newton	1	N.	Newton	H.
A. F. Newton	2	A.	Newton	F.
D. H. Nicolson	1	D.	Nicolson	H.
O. Niehuis	1	O.	Niehuis	
B. M. Norden	1	B.	Norden	M.
A. B. Norden	1	A.	Norden	B.
A. L. Norrbom	2	A.	Norrbom	L.
A. L. Norrborn	2	A.	Norrborn	L.
K. R. Norris	1	K.	Norris	R.
G. G. Nylea	1	G.	Nylea	G.
Oman	2		Oman	
S. H. Oreistadt	1	S.	Oreistadt	H.
F. Pacheco	1	F.	Pacheco	
E. M. Painter	1	E.	Painter	M.
R. H. Painter	1	R.	Painter	H.
T. Pape	1	T.	Pape	
Pape	2		Pape	
Parker	2		Parker	
F. Parker	1	F.	Parker	
F. D. Parker	4	F.	Parker	D.
H. L. Parker	1	H.	Parker	L.
R. C. Patel	1	R.	Patel	C.
H. Paterson	1	H.	Paterson	
A. Patino	1	A.	Patino	
D. Peckham	1	D.	Peckham	
D. J. Peckham	2	D.	Peckham	J.
L. E. Pena	6	L.	Pena	E.
L. Pena	1	L.	Pena	
R. B. Penfield	1	R.	Penfield	B.
D. Perez	13	D.	Perez	
D. E. Perez-Gelabert	2	D.	Perez-Gelabert	E.
D. Perez-Gelabert	1	D.	Perez-Gelabert	
W. H. Pierce	4	W.	Pierce	H.
R. R. PingerJr.	1	R.	PingerJr.	R.
H. K. Plant	1	H.	Plant	K.
H. Pohl	1	H.	Pohl	
D. Pollock	1	D.	Pollock	
R. L. V. Poole	1	R.	Poole	L. V.
L. Posada	3	L.	Posada	
C. Priszynski	1	C.	Priszynski	
A. E. Pritchard	1	A.	Pritchard	E.
R. Psencik	1	R.	Psencik	
G. J. Puterka	1	G.	Puterka	J.
L. Quate	1	L.	Quate	
L. Quiniero	1	L.	Quiniero	
J. A. Ramos	1	J.	Ramos	A.
V. P. Rao	1	V.	Rao	P.
V. P. Rau	1	V.	Rau	P.
H. Real	1	H.	Real	
J. Redon	1	J.	Redon	
W. Reeves	1	W.	Reeves	
L. Reichert	1	L.	Reichert	
E. F. Reik	1	E.	Reik	F.
K. Rennell	1	K.	Rennell	
M. E. Rettenmeyer	5	M.	Rettenmeyer	E.
C. W.  Rettenmeyer	1	C.	Rettenmeyer	W. 
C. W. Rettenmeyer	4	C.	Rettenmeyer	W.
M. P. Riedel	2	M.	Riedel	P.
T. Robbins	1	T.	Robbins	
L. W. Roberts	1	L.	Roberts	W.
L. Rogers	1	L.	Rogers	
M. R. Romero	1	M.	Romero	R.
E. S. Ross	2	E.	Ross	S.
V. D. Roth	1	V.	Roth	D.
R. F. Ruppel	1	R.	Ruppel	F.
A. Rybarh	1	A.	Rybarh	
M. Sabourin	1	M.	Sabourin	
C. Sabrosky	1	C.	Sabrosky	
C. W. Sabrosky	9	C.	Sabrosky	W.
R. I.  Sailer	1	R.	Sailer	I. 
K. Sarv	2	K.	Sarv	
O. Sausa	2	O.	Sausa	
H. Sauter	1	H.	Sauter	
A. G. Scarbrough	4	A.	Scarbrough	G.
W. Schacht	1	W.	Schacht	
F. Schade	4	F.	Schade	
P. Schaefer	1	P.	Schaefer	
E. I. Schlinger	4	E.	Schlinger	I.
J. Semidey	1	J.	Semidey	
Shannon	1		Shannon	
R. C. Shannon	1	R.	Shannon	C.
R. Shannon	1	R.	Shannon	
E. Shannon	1	E.	Shannon	
M. Sharkey	1	M.	Sharkey	
J. G. Shaw	1	J.	Shaw	G.
S. Shinonaga	2	S.	Shinonaga	
J. Shuster	1	J.	Shuster	
S. Sifiwardane	5	S.	Sifiwardane	
R. E. Silberglied	1	R.	Silberglied	E.
R. Silberglied	1	R.	Silberglied	
P. Sillivan	1	P.	Sillivan	
Silveira	2		Silveira	
S.  Siriwardane	2	S.	Siriwardane	
M. T. Smith	1	M.	Smith	T.
D. R. Smith	2	D.	Smith	R.
H. M. Smith	2	H.	Smith	M.
R. Sobhian	2	R.	Sobhian	
F. Soffel	2	F.	Soffel	
P. J. Spanger	1	P.	Spanger	J.
Spangler	5		Spangler	
P. Spangler	5	P.	Spangler	
P. J. Spangler	19	P.	Spangler	J.
P. M. Spangler	1	P.	Spangler	M.
G. H. Sperry	1	G.	Sperry	H.
J. L. Sperry	1	J.	Sperry	L.
T. J. Spilman	1	T.	Spilman	J.
Stackelberg	1		Stackelberg	
B. Stark	1	B.	Stark	
K. Starr	1	K.	Starr	
G. J. Steck	1	G.	Steck	J.
W. E. Steiner	21	W.	Steiner	E.
Stephenson	1		Stephenson	
J. Stewart	1	J.	Stewart	
G. Steyskal	8	G.	Steyskal	
R. M. Straw	1	R.	Straw	M.
M. M. Stromberg	1	M.	Stromberg	M.
P. J. Stuckenberg	1	P.	Stuckenberg	J.
D. R. Stuckenberg	1	D.	Stuckenberg	R.
P. Sullivan	2	P.	Sullivan	
J. J. Sullivan	1	J.	Sullivan	J.
W. D. Sumlin	1	W.	Sumlin	D.
J. M. Swearingen	5	J.	Swearingen	M.
Sychevskaya	1		Sychevskaya	
M. L. Tarbox	1	M.	Tarbox	L.
E. Tascheuberg	1	E.	Tascheuberg	
P. M. Taylor	1	P.	Taylor	M.
M. K. Thayer	2	M.	Thayer	K.
M. Thayer	1	M.	Thayer	
D. L. Theron	1	D.	Theron	L.
M. Thomas	4	M.	Thomas	
F. C. Thompson	3	F.	Thompson	C.
B. J. Thompson	1	B.	Thompson	J.
S. Tirgari	1	S.	Tirgari	
G. Tjusoeroe	1	G.	Tjusoeroe	
A. Tonnoir	2	A.	Tonnoir	
C. H. T. Townsend	3	C.	Townsend	H. T.
O. H. T. Townsend	1	O.	Townsend	H. T.
P. Tripotin	2	P.	Tripotin	
Tripotin	1		Tripotin	
K. Tsuneki	2	K.	Tsuneki	
R. Urtiaga	1	R.	Urtiaga	
M. R. Vaughn	1	M.	Vaughn	R.
Viklund	2		Viklund	
B. Viklund	1	B.	Viklund	
D. Vincent	2	D.	Vincent	
D. L. Vincent	2	D.	Vincent	L.
M. Volkovish	1	M.	Volkovish	
M. Volovitsh	1	M.	Volovitsh	
D. B. Wahl	2	D.	Wahl	B.
M. Wasbauer	1	M.	Wasbauer	
J. Wasbauer	1	J.	Wasbauer	
M. Wasnauer	1	M.	Wasnauer	
F. Waythowshi	1	F.	Waythowshi	
H. V. Weems	1	H.	Weems	V.
H. V. WeemsJr	1	H.	WeemsJr	V.
L. Weeratunge	1	L.	Weeratunge	
J. D. Weintraub	2	J.	Weintraub	D.
Weintraub	1		Weintraub	
R. Westcott	1	R.	Westcott	
O. Wharton	1	O.	Wharton	
R. Wharton	1	R.	Wharton	
T. L. Whitworth	1	T.	Whitworth	L.
T. Wijesinhe	13	T.	Wijesinhe	
S. C. Williams	1	S.	Williams	C.
R. E. Williams	1	R.	Williams	E.
R. G. Wind	1	R.	Wind	G.
S. Winterton	1	S.	Winterton	
W. Wirth	4	W.	Wirth	
W. W. Wirth	13	W.	Wirth	W.
J. Wolinski	1	J.	Wolinski	
D. M. Wood	1	D.	Wood	M.
Woodley	1		Woodley	
N. Woodley	1	N.	Woodley	
N. E. Woodley	43	N.	Woodley	E.
R. E. Woodruff	1	R.	Woodruff	E.
Woods	1		Woods	
J. Woonski	1	J.	Woonski	
S. Yanoviak	1	S.	Yanoviak	
K. Yeargan	1	K.	Yeargan	
D. Yeates	1	D.	Yeates	
C. Young	1	C.	Young	
R. Zamorand	2	R.	Zamorand	
H. J. deFluister	1	H.	deFluister	J.
P. lehr	1	P.	lehr	
S. vanNoor	1	S.	vanNoor	
