Phylum	Class	Order	Family	Subfamily	Genus	Scientific Name	tax_count	Species	BOLD Name	irn
Arthropoda	Insecta	Diptera	Sciomyzidae	Sciomyzinae	Pherbellia	Pherbellia parallela	1	parallela	Pherbellia parallela	10267258
Arthropoda	Insecta	Diptera	Sciomyzidae	Sciomyzinae	Hoplodictya	Hoplodictya spinicornis	1	spinicornis	Hoplodictya spinicornis	10267262
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Afroleptomydas	Afroleptomydas suffusipennis	1	suffusipennis	Afroleptomydas suffusipennis	10302592
Arthropoda	Insecta	Diptera	Mydidae	Diochlistinae	Diochlistus	Diochlistus melleipennis	1	melleipennis	Diochlistus melleipennis	10302602
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Haplomydas	Haplomydas crassipes	1	crassipes	Haplomydas crassipes	10302608
Arthropoda	Insecta	Diptera	Mydidae	Megascelinae	Megascelus	Megascelus nigricornis	1	nigricornis	Megascelus nigricornis	10302612
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Mydaselpis	Mydaselpis ngurumani	1	ngurumani	Mydaselpis ngurumani	10302631
Arthropoda	Insecta	Diptera	Mydidae	Ectyphinae	Opomydas	Opomydas limbatus	1	limbatus	Opomydas limbatus	10302638
Arthropoda	Insecta	Diptera	Mydidae	Apiophorinae	Paramydas	Paramydas igniticornis	1	igniticornis	Paramydas igniticornis	10302640
Arthropoda	Insecta	Diptera	Mydidae	Mydinae	Stratiomydas	Stratiomydas rufiventris	1	rufiventris	Stratiomydas rufiventris	10302659
Arthropoda	Insecta	Diptera	Mydidae	Syllegomydinae	Syllegomydas	Syllegomydas heothinos	1	heothinos	Syllegomydas heothinos	10302660
Arthropoda	Insecta	Diptera	Nemestrinidae	Hirmoneurinae	Hirmoneura	Hirmoneura vitalisi	1	vitalisi	Hirmoneura vitalisi	10604330
Arthropoda	Insecta	Diptera	Stratiomyidae	Sarginae	Paraptecticus	Paraptecticus viduatus	1	viduatus	Paraptecticus viduatus	10332221
Arthropoda	Insecta	Diptera	Stratiomyidae	Pachygastrinae	Tinda	Tinda nigra	1	nigra	Tinda nigra	10332223
Arthropoda	Insecta	Diptera	Asilidae	Stichopogoninae	Rhadinus	Rhadinus laurae	1	laurae	Rhadinus laurae	10332241
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Afromosia	Afromosia barkemeyeri	1	barkemeyeri	Afromosia barkemeyeri	10365485
Arthropoda	Insecta	Diptera	Scenopinidae	Scenopininae	Brevitrichia	Brevitrichia addacifrons	1	addacifrons	Brevitrichia addacifrons	10620068
Arthropoda	Insecta	Diptera	Scenopinidae	Caenotinae	Caenotus	Caenotus tanyrhynchus	1	tanyrhynchus	Caenotus tanyrhynchus	10620082
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Laxenecera	Laxenecera auricomata	1	auricomata	Laxenecera auricomata	10366294
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Heligmonevra	Heligmonevra cheriani	1	cheriani	Heligmonevra cheriani	10413364
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Nusa	Nusa formio	1	formio	Nusa formio	10413373
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Maira	Maira aenea	1	aenea	Maira aenea	10413394
Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Trigonomima	Trigonomima anamaliensis	1	anamaliensis	Trigonomima anamaliensis	10413418
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Lycoprosopa	Lycoprosopa atrimaculata	1	atrimaculata	Lycoprosopa atrimaculata	10561775
Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Pygommatius	Pygommatius dasypogon	1	dasypogon	Pygommatius dasypogon	10561778
Arthropoda	Insecta	Diptera	Asilidae	Trigonomiminae	Damalis	Damalis saigonensis	1	saigonensis	Damalis saigonensis	10561804
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Schildia	Schildia fragilis	1	fragilis	Schildia fragilis	10368008
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Euscelidia	Euscelidia pallasii	1	pallasii	Euscelidia pallasii	10367973
Arthropoda	Insecta	Diptera	Conopidae	Conopinae	Archiconops	Archiconops erythrocephalus	1	erythrocephalus	Archiconops erythrocephalus	10367954
Arthropoda	Insecta	Diptera	Scenopinidae	Proratinae	Alloxytropus	Alloxytropus elias	1	elias	Alloxytropus elias	10620065
Arthropoda	Insecta	Diptera	Scenopinidae	Scenopininae	Pseudatrichia	Pseudatrichia morlani	1	morlani	Pseudatrichia morlani	9138213
Arthropoda	Insecta	Diptera	Asilidae	Leptogastrinae	Eurhabdus	Eurhabdus sororius	1	sororius	Eurhabdus sororius	10367972
Arthropoda	Insecta	Diptera	Therevidae	Therevinae	Efflatouniella	Efflatouniella aegyptiaca	1	aegyptiaca	Efflatouniella aegyptiaca	10566847
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Promachus	Promachus bastardii	1	bastardii	Promachus bastardii	10584526
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Efferia	Efferia aestuans	2	aestuans	Efferia aestuans	10584535
Arthropoda	Insecta	Diptera	Asilidae	Laphriinae	Laphria	Laphria canis	1	canis	Laphria canis	10221708
Arthropoda	Insecta	Diptera	Asilidae	Ommatiinae	Michotamia	Michotamia aurata	1	aurata	Michotamia aurata	10413425
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Triorla	Triorla interrupta	1	interrupta	Triorla interrupta	10203876
Arthropoda	Insecta	Diptera	Nemestrinidae	Hirmoneurinae	Hirmoneura	Hirmoneura punctipennis	1	punctipennis	Hirmoneura punctipennis	10604327
Arthropoda	Insecta	Diptera	Nemestrinidae	Hirmoneurinae	Hirmoneura	Hirmoneura bradleyi	1	bradleyi	Hirmoneura bradleyi	10604343
Arthropoda	Insecta	Diptera	Nemestrinidae	Hirmoneurinae	Hirmoneura	Hirmoneura basalis	1	basalis	Hirmoneura basalis	10604319
Arthropoda	Insecta	Diptera	Nemestrinidae	Nemestrininae	Trichophthalma	Trichophthalma jaffueli	1	jaffueli	Trichophthalma jaffueli	10604368
Arthropoda	Insecta	Diptera	Asilidae	Brachyrhopalinae	Heteropogon	Heteropogon dorothyae	1	dorothyae	Heteropogon dorothyae	10611999
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Efferia	Efferia albibarbis	1	albibarbis	Efferia albibarbis	9142617
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius jairajpurii	1	jairajpurii	Ommatius jairajpurii	10620381
Arthropoda	Insecta	Diptera	Asilidae	Asilinae	Ommatius	Ommatius jairajpurii	1	jairajpurii	Ommatius jairajpurii	10673826
Arthropoda	Insecta	Diptera	Xylophagidae	Coenomyiinae	Coenomyia	Coenomyia ferruginea	1	ferruginea	Coenomyia ferruginea	10622962
Arthropoda	Insecta	Diptera	Xylophagidae	Coenomyiinae	Dialysis	Dialysis rufithorax	1	rufithorax	Dialysis rufithorax	10639994
Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomyinae	Compsomyiops	Compsomyiops callipes	1	callipes	Compsomyiops callipes	10644095
Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomyinae	Hemilucilia	Hemilucilia semidiaphana	1	semidiaphana	Hemilucilia semidiaphana	10644096
Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomyinae	Chloroprocta	Chloroprocta idioidea	1	idioidea	Chloroprocta idioidea	10644093
Arthropoda	Insecta	Diptera	Asilidae	Willistonininae	Acnephalomyia	Acnephalomyia dorsalis	1	dorsalis	Acnephalomyia dorsalis	10663086
