NamBriefName,NamFirst,NamLast,NamMiddle,NamRoles_tab(1)
M. Jayaweera,M.,Jayaweera,,Collector
L. Jayawickrema,L.,Jayawickrema,,Collector
Jaynes,,Jaynes,,Collector
Pham Jendek,Pham,Jendek,,Collector
E. Jendek,E.,Jendek,,Collector
S. L. Jensen,S.,Jensen,L.,Collector
Johanson,,Johanson,,Collector
R. L. Jones,R.,Jones,L.,Collector
J. M. Leavengood Jr.,J.,Jr.,M. Leavengood,Collector
K. Kamijo,K.,Kamijo,,Collector
R. Kano,R.,Kano,,Identifier
F. Kaplan,F.,Kaplan,,Collector
Karl,,Karl,,Author
S. Karunaratne,S.,Karunaratne,,Collector
P. B. Karunaratne,P.,Karunaratne,B.,Collector
A. Kawahara,A.,Kawahara,,Collector
L. Kelsey,L.,Kelsey,,Identifier
Kertesz,,Kertesz,,Author
J. Kipping,J.,Kipping,,Collector
A. Kirk-Springs,A.,Kirk-Springs,,Collector
C. Y. Kitayama,C.,Kitayama,Y.,Collector
L. V. Knutson,L.,Knutson,V.,Collector
L. V. Knutson,L.,Knutson,V.,Identifier
E. J. Kochenderfer,E.,Kochenderfer,J.,Collector
A. Konstantinov,A.,Konstantinov,,Collector
A. S. Konstantinov,A.,Konstantinov,S.,Collector
M. Kotrba,M.,Kotrba,,Collector
N. L. H. Krauss,N.,Krauss,L. H.,Collector
C. Kremen,C.,Kremen,,Collector
O. Krober,O.,Krober,,Identifier
Kroeber,,Kroeber,,Author
Krombein,,Krombein,,Collector
T. Kuklenski,T.,Kuklenski,,Collector
G. Kung,G.,Kung,,Collector
Kurahashi,,Kurahashi,,Author
K. Kusigemati,K.,Kusigemati,,Collector
R. Lacy,R.,Lacy,,Collector
J. Laffoon,J.,Laffoon,,Collector
C. Lamberton,C.,Lamberton,,Collector
C. Lamerton,C.,Lamerton,,Collector
R. Latham,R.,Latham,,Collector
Robert Lavigne,Robert,Lavigne,,Identifier
R. J. Lavigne,R.,Lavigne,J.,Collector
L. LeSage,L.,LeSage,,Collector
P. Leanage,P.,Leanage,,Collector
J. M. LeavengoodJr.,J.,LeavengoodJr.,M.,Collector
H. M. C. Lee,H.,Lee,M. C.,Collector
L. Legg,L.,Legg,,Collector
C. Legg,C.,Legg,,Collector
Lehr,,Lehr,,Author
P. Lehr,P.,Lehr,,Identifier
D. C. Lightfoot,D.,Lightfoot,C.,Collector
Lightfoot,,Lightfoot,,Collector
S. W. Lingafelter,S.,Lingafelter,W.,Collector
J. Londt,J.,Londt,,Collector
A. Lopes,A.,Lopes,,Identifier
J. E. Lowry,J.,Lowry,E.,Collector
C. Maier,C.,Maier,,Collector
J. Maldonado,J.,Maldonado,,Collector
Marais,,Marais,,Collector
L. Marinoni,L.,Marinoni,,Identifier
T. D. Marsico,T.,Marsico,D.,Collector
C. H. Martin,C.,Martin,H.,Collector
L. Masner,L.,Masner,,Collector
F. Mason,F.,Mason,,Identifier
Mathis,,Mathis,,Collector
W. Mathis,W.,Mathis,,Collector
D.  Mathis,D.,Mathis,,Collector
W. N.  Mathis,W.,Mathis,N. ,Collector
J. R. Mawdsley,J.,Mawdsley,R.,Collector
E. Mayordo,E.,Mayordo,,Collector
D. K. McAlpine,D.,McAlpine,K.,Collector
N. McFarland,N.,McFarland,,Collector
J. M. McGough,J.,McGough,M.,Collector
M. McKinnerney,M.,McKinnerney,,Collector
N. D. Menke,N.,Menke,D.,Collector
K.  Menke,K.,Menke,,Collector
A. S.  Menke,A.,Menke,S. ,Collector
B. Merz,B.,Merz,,Identifier
B. Merz,B.,Merz,,Collector
L. Mesnil,L.,Mesnil,,Identifier
C. P. Mesnil,C.,Mesnil,P.,Collector
F. J. Messina,F.,Messina,J.,Collector
Mark A. Metz,Mark,Metz,A.,Identifier
Meredith E Miller,Meredith,Miller,E,Identifier
J. C. Miller,J.,Miller,C.,Collector
R. C. Miller,R.,Miller,C.,Collector
S. E.  Miller,S.,Miller,E. ,Collector
C. Miller,C.,Miller,,Collector
P. M.  Miller,P.,Miller,M. ,Collector
Mindakov,,Mindakov,,Collector
L.  Molina,L.,Molina,,Collector
Molina,,Molina,,Collector
A. L. Moore,A.,Moore,L.,Collector
Moore,,Moore,,Collector
H. B. Morlan,H.,Morlan,B.,Collector
William L. Murphy,William,Murphy,L.,Identifier
R. F. C. Naczi,R.,Naczi,F. C.,Collector
Naczi,,Naczi,,Author
A. Nagatomi,A.,Nagatomi,,Identifier
E. Namatalau,E.,Namatalau,,Collector
E. P. Narchuk,E.,Narchuk,P.,Collector
P. S. Nathan,P.,Nathan,S.,Collector
G. Nearns,G.,Nearns,,Collector
R. I. Nelson,R.,Nelson,I.,Collector
L. D. Newsom,L.,Newsom,D.,Collector
N. H. Newton,N.,Newton,H.,Collector
A. Newton,A.,Newton,,Collector
D. H. Nicolson,D.,Nicolson,H.,Collector
O. Niehuis,O.,Niehuis,,Collector
A. B. Norden,A.,Norden,B.,Collector
A. L. Norrborn,A.,Norrborn,L.,Collector
K. R. Norris,K.,Norris,R.,Collector
G. G. Nylea,G.,Nylea,G.,Collector
S. H. Oreistadt,S.,Oreistadt,H.,Collector
E. M. Painter,E.,Painter,M.,Collector
R. H. Painter,R.,Painter,H.,Collector
